pair,Class,Method,model_chatgpt_4o,model_chatgpt_o3,model_claude3_7,model_deepseek_r1_,model_gemini_2_5_pro_preview_05_06,model_grok3,model_llama4,model_mistral,model_qwen3
rolemanager::assigndefaultrole,rolemanager,assigndefaultrole,0,0,0,1,0,0,0,0,0
rolemanager::assignrole,rolemanager,assignrole,1,1,1,1,1,1,1,1,1
rolemanager::assignroletouser,rolemanager,assignroletouser,0,0,0,0,1,0,0,0,0
rolemanager::assignserviceproviderrole,rolemanager,assignserviceproviderrole,0,0,0,0,1,0,0,0,0
rolemanager::assignuserrole,rolemanager,assignuserrole,0,0,0,0,1,0,0,0,0
rolemanager::authorize,rolemanager,authorize,0,1,0,0,0,0,0,0,0
rolemanager::authorizeuser,rolemanager,authorizeuser,0,1,0,0,0,0,0,0,0
rolemanager::canchangerole,rolemanager,canchangerole,0,0,1,0,1,0,0,0,0
rolemanager::cantransitiontorole,rolemanager,cantransitiontorole,0,0,1,0,0,0,0,0,0
rolemanager::changerole,rolemanager,changerole,0,0,1,0,0,0,0,0,0
rolemanager::changeuserrole,rolemanager,changeuserrole,0,0,0,1,1,0,0,0,0
rolemanager::deactivateserviceprovider,rolemanager,deactivateserviceprovider,0,1,0,0,0,0,0,0,0
rolemanager::demotefromserviceprovider,rolemanager,demotefromserviceprovider,0,0,0,1,0,0,0,0,0
rolemanager::designateasserviceprovider,rolemanager,designateasserviceprovider,0,0,0,0,1,0,0,0,0
rolemanager::getuserrole,rolemanager,getuserrole,0,0,0,0,0,1,0,0,0
rolemanager::grantaccess,rolemanager,grantaccess,0,1,0,0,0,1,0,0,0
rolemanager::isrolechangeallowed,rolemanager,isrolechangeallowed,0,0,1,0,0,0,0,0,0
rolemanager::promotetoserviceprovider,rolemanager,promotetoserviceprovider,0,0,1,1,0,0,0,0,0
rolemanager::removerole,rolemanager,removerole,0,0,0,0,0,1,0,0,0
rolemanager::selectnewrole,rolemanager,selectnewrole,0,0,0,0,0,1,0,0,0
rolemanager::setuserrole,rolemanager,setuserrole,0,1,0,0,0,0,0,0,0
rolemanager::updaterole,rolemanager,updaterole,0,1,0,0,0,0,0,0,0
rolemanager::updateuserrole,rolemanager,updateuserrole,1,0,0,1,0,0,0,0,0
rolemanager::validateroleassignment,rolemanager,validateroleassignment,0,0,0,0,1,0,0,0,0
rolemanager::validaterolechange,rolemanager,validaterolechange,0,1,1,0,0,0,0,0,0
rolemanager::validateroletransition,rolemanager,validateroletransition,0,1,1,1,1,1,1,0,1
rolemanagerservice::assignrole,rolemanagerservice,assignrole,0,0,0,0,0,1,0,0,0
routeplan::addwaypoint,routeplan,addwaypoint,0,0,1,0,0,0,0,0,0
routeplan::calculatedistance,routeplan,calculatedistance,0,0,1,1,0,0,0,0,0
routeplan::calculateoptimalroute,routeplan,calculateoptimalroute,0,0,1,0,0,0,0,0,0
routeplan::calculatetotaldistance,routeplan,calculatetotaldistance,0,0,1,0,0,0,0,0,0
routeplan::defineroute,routeplan,defineroute,1,0,0,0,0,0,0,0,0
routeplan::estimatedistance,routeplan,estimatedistance,0,0,1,0,0,0,0,0,0
routeplan::estimatetraveltime,routeplan,estimatetraveltime,0,0,0,1,0,0,0,0,0
routeplan::generateoptimalroute,routeplan,generateoptimalroute,0,1,0,0,0,0,0,0,0
routeplan::initializeroute,routeplan,initializeroute,0,0,0,0,1,0,0,0,0
routeplan::isvalid,routeplan,isvalid,0,0,1,0,0,0,0,0,0
routeplan::optimize,routeplan,optimize,0,0,0,1,0,0,0,0,0
routeplan::optimizeroute,routeplan,optimizeroute,0,0,1,1,0,0,0,0,0
routeplan::planroute,routeplan,planroute,0,0,0,0,0,0,0,1,1
routeplan::reorderwaypoints,routeplan,reorderwaypoints,0,0,1,0,0,0,0,0,0
routeplan::setwaypoints,routeplan,setwaypoints,0,0,0,0,1,0,0,0,0
routeplan::updatewaypoints,routeplan,updatewaypoints,0,0,0,0,1,0,0,0,0
routeplan::validate,routeplan,validate,0,0,1,0,0,0,0,0,0
routeplan::validateroute,routeplan,validateroute,0,0,0,0,1,0,0,0,0
routeplan::validaterouteplan,routeplan,validaterouteplan,0,0,1,0,0,0,0,0,0
routeplan::validatewaypoints,routeplan,validatewaypoints,0,0,0,1,0,0,0,0,0
routeplan::validatewaypointsequence,routeplan,validatewaypointsequence,0,0,0,0,0,0,0,0,1
searchfilter::addcategory,searchfilter,addcategory,0,0,1,0,0,0,0,0,0
searchfilter::addcategoryfilter,searchfilter,addcategoryfilter,0,0,1,0,0,0,0,0,0
searchfilter::addkeyword,searchfilter,addkeyword,0,0,1,0,0,0,0,0,0
searchfilter::apply,searchfilter,apply,1,1,0,0,1,0,0,0,0
searchfilter::applycategoryfilter,searchfilter,applycategoryfilter,0,0,0,1,0,0,0,0,0
searchfilter::applyfilter,searchfilter,applyfilter,0,0,1,0,0,1,0,1,1
searchfilter::applyfilters,searchfilter,applyfilters,1,0,1,1,0,0,0,0,1
searchfilter::applylocationfilter,searchfilter,applylocationfilter,0,0,0,1,0,0,0,0,0
searchfilter::build,searchfilter,build,0,1,0,0,0,0,0,0,0
searchfilter::createsearchfilter,searchfilter,createsearchfilter,0,0,0,0,1,0,0,0,0
searchfilter::filter,searchfilter,filter,1,1,0,0,0,0,0,0,0
searchfilter::filterbycategories,searchfilter,filterbycategories,0,0,1,0,0,0,0,0,0
searchfilter::filterbykeywords,searchfilter,filterbykeywords,0,0,1,0,0,0,0,0,0
searchfilter::filterbylocation,searchfilter,filterbylocation,0,0,1,0,0,0,0,0,0
searchfilter::filterproducts,searchfilter,filterproducts,1,1,0,0,0,1,0,1,0
searchfilter::findmatchingproducts,searchfilter,findmatchingproducts,0,0,0,0,0,1,0,0,0
searchfilter::getfilteredresults,searchfilter,getfilteredresults,0,0,0,0,0,0,0,0,1
searchfilter::isvalid,searchfilter,isvalid,0,0,0,0,1,0,0,0,0
searchfilter::iswithindistance,searchfilter,iswithindistance,0,0,1,0,0,0,0,0,0
searchfilter::matches,searchfilter,matches,0,0,1,0,0,0,0,0,0
searchfilter::matchescategories,searchfilter,matchescategories,0,0,1,0,0,0,0,0,0
searchfilter::matcheskeywords,searchfilter,matcheskeywords,0,0,1,0,0,0,0,0,0
searchfilter::matchesproduct,searchfilter,matchesproduct,0,0,1,0,0,0,0,0,0
searchfilter::search,searchfilter,search,1,1,0,0,0,0,1,0,0
searchfilter::searchproducts,searchfilter,searchproducts,0,0,0,0,0,0,1,1,0
searchfilter::setcriteria,searchfilter,setcriteria,0,0,0,0,0,1,0,0,0
searchfilter::setkeywordfilter,searchfilter,setkeywordfilter,0,0,1,0,0,0,0,0,0
searchfilter::setkeywords,searchfilter,setkeywords,0,0,1,0,0,0,0,0,0
searchfilter::setlocation,searchfilter,setlocation,0,0,1,0,0,0,0,0,0
searchfilter::setlocationfilter,searchfilter,setlocationfilter,0,0,1,0,0,0,0,0,0
searchfilter::setlocationradius,searchfilter,setlocationradius,0,0,1,0,0,0,0,0,0
searchfilter::setmaxdistance,searchfilter,setmaxdistance,0,0,1,0,0,0,0,0,0
searchfilter::validate,searchfilter,validate,0,0,0,0,1,0,0,0,0
searchfilter::validatecriteria,searchfilter,validatecriteria,0,0,0,1,0,0,0,0,0
searchfilter::validatefilter,searchfilter,validatefilter,0,0,1,0,1,0,0,0,0
searchfilter::validatesearchcriteria,searchfilter,validatesearchcriteria,0,0,1,0,0,0,0,0,0
searchfilter::withindistance,searchfilter,withindistance,0,0,1,0,0,0,0,0,0
serviceprovider::acceptcollectionrequest,serviceprovider,acceptcollectionrequest,1,1,0,1,0,0,0,0,1
serviceprovider::acceptrequest,serviceprovider,acceptrequest,1,0,0,1,0,1,1,0,1
serviceprovider::accepttransportrequest,serviceprovider,accepttransportrequest,1,1,0,1,0,1,0,0,0
serviceprovider::activate,serviceprovider,activate,0,1,0,0,0,0,0,0,0
serviceprovider::addressissues,serviceprovider,addressissues,0,0,0,0,0,1,0,0,0
serviceprovider::addservicearea,serviceprovider,addservicearea,0,0,1,0,0,0,0,0,0
serviceprovider::addvehicletype,serviceprovider,addvehicletype,0,0,1,0,0,0,0,0,0
serviceprovider::approve,serviceprovider,approve,0,1,0,0,0,0,0,0,0
serviceprovider::approveprofile,serviceprovider,approveprofile,0,1,0,0,0,0,0,0,0
serviceprovider::approveprovider,serviceprovider,approveprovider,0,0,0,0,0,1,0,0,0
serviceprovider::assigntorequest,serviceprovider,assigntorequest,0,0,0,0,0,0,0,0,1
serviceprovider::assigntoservicerequest,serviceprovider,assigntoservicerequest,0,0,1,0,0,0,0,0,0
serviceprovider::bookservice,serviceprovider,bookservice,0,0,0,0,0,0,0,0,1
serviceprovider::canhandle,serviceprovider,canhandle,0,1,0,0,0,0,0,0,0
serviceprovider::checkavailability,serviceprovider,checkavailability,0,1,0,1,1,1,0,0,1
serviceprovider::checkcapacity,serviceprovider,checkcapacity,0,1,0,0,0,0,0,0,0
serviceprovider::checkcollectioncapacity,serviceprovider,checkcollectioncapacity,0,1,0,0,0,0,0,0,0
serviceprovider::checkfeasibility,serviceprovider,checkfeasibility,0,0,0,0,1,1,0,0,0
serviceprovider::checklogisticsfeasibility,serviceprovider,checklogisticsfeasibility,0,1,0,0,0,0,0,0,0
serviceprovider::checktransportfeasibility,serviceprovider,checktransportfeasibility,0,1,0,0,0,0,0,0,0
serviceprovider::checkvehicleavailability,serviceprovider,checkvehicleavailability,0,1,0,0,0,1,0,0,1
serviceprovider::completerequest,serviceprovider,completerequest,1,0,0,0,0,0,0,0,0
serviceprovider::completetransport,serviceprovider,completetransport,0,1,0,0,0,0,0,0,0
serviceprovider::confirmacceptance,serviceprovider,confirmacceptance,0,0,0,0,0,0,0,0,1
serviceprovider::confirmcollectionrequest,serviceprovider,confirmcollectionrequest,0,1,0,0,0,0,0,0,0
serviceprovider::confirmtransportrequest,serviceprovider,confirmtransportrequest,0,1,0,0,0,0,0,0,0
serviceprovider::createproviderprofile,serviceprovider,createproviderprofile,0,0,0,0,1,0,0,0,0
serviceprovider::deactivate,serviceprovider,deactivate,0,1,0,0,0,0,0,0,0
serviceprovider::deactivateprofile,serviceprovider,deactivateprofile,0,1,0,0,0,0,0,0,0
serviceprovider::deactivateprovider,serviceprovider,deactivateprovider,0,0,0,0,0,1,0,0,0
serviceprovider::deactivateprovideraccount,serviceprovider,deactivateprovideraccount,0,0,0,0,1,0,0,0,0
serviceprovider::declinerequest,serviceprovider,declinerequest,0,0,0,0,0,0,1,0,1
serviceprovider::dispatchcollection,serviceprovider,dispatchcollection,0,1,0,0,0,1,0,0,0
serviceprovider::dispatchcollectionteam,serviceprovider,dispatchcollectionteam,0,1,0,0,1,0,0,0,0
serviceprovider::dispatchteam,serviceprovider,dispatchteam,0,1,0,0,0,1,0,0,1
serviceprovider::dispatchvehicle,serviceprovider,dispatchvehicle,0,1,0,0,0,0,0,0,1
serviceprovider::editprofile,serviceprovider,editprofile,0,0,0,0,0,0,0,0,1
serviceprovider::evaluatecollectionfeasibility,serviceprovider,evaluatecollectionfeasibility,0,1,0,0,0,0,0,0,0
serviceprovider::evaluatetransportfeasibility,serviceprovider,evaluatetransportfeasibility,0,1,0,0,0,0,0,0,0
serviceprovider::executetransport,serviceprovider,executetransport,0,1,0,0,0,0,0,0,0
serviceprovider::getavailableproviders,serviceprovider,getavailableproviders,0,1,0,0,0,0,0,0,0
serviceprovider::getpendingcollectionrequests,serviceprovider,getpendingcollectionrequests,0,0,0,0,0,1,0,0,0
serviceprovider::getpendingtransportrequests,serviceprovider,getpendingtransportrequests,0,0,0,0,0,1,0,0,0
serviceprovider::getprofile,serviceprovider,getprofile,0,0,0,0,0,0,1,0,0
serviceprovider::handlecollectionrequest,serviceprovider,handlecollectionrequest,0,0,0,0,0,0,1,0,0
serviceprovider::handletransportrequest,serviceprovider,handletransportrequest,0,0,0,0,0,0,1,0,0
serviceprovider::initializeprovider,serviceprovider,initializeprovider,0,0,0,0,1,0,0,0,0
serviceprovider::listcompanies,serviceprovider,listcompanies,0,0,0,0,0,1,0,0,0
serviceprovider::listpendingcollectionrequests,serviceprovider,listpendingcollectionrequests,0,1,0,0,0,0,0,0,0
serviceprovider::listpendingrequests,serviceprovider,listpendingrequests,0,0,0,0,0,1,0,0,0
serviceprovider::listpendingtransportrequests,serviceprovider,listpendingtransportrequests,0,1,0,0,0,1,0,0,0
serviceprovider::managecollectionrequest,serviceprovider,managecollectionrequest,0,0,0,0,0,0,1,0,0
serviceprovider::managetransportrequest,serviceprovider,managetransportrequest,0,0,0,0,0,0,1,0,0
serviceprovider::markascollected,serviceprovider,markascollected,0,0,0,0,0,0,0,0,1
serviceprovider::markascompleted,serviceprovider,markascompleted,0,0,0,0,0,0,0,0,1
serviceprovider::markrequestcollected,serviceprovider,markrequestcollected,0,1,0,0,0,0,0,0,0
serviceprovider::notifyrequestaccepted,serviceprovider,notifyrequestaccepted,0,0,0,0,0,0,0,0,1
serviceprovider::operaterouteplan,serviceprovider,operaterouteplan,0,1,0,0,0,0,0,0,0
serviceprovider::performtransport,serviceprovider,performtransport,0,1,0,0,1,1,0,0,0
serviceprovider::receiverequest,serviceprovider,receiverequest,0,1,0,0,0,0,0,0,0
serviceprovider::removeservicearea,serviceprovider,removeservicearea,0,0,1,0,0,0,0,0,0
serviceprovider::reviewprofiles,serviceprovider,reviewprofiles,0,0,0,0,0,1,0,0,0
serviceprovider::saveupdates,serviceprovider,saveupdates,0,0,0,0,0,1,0,0,0
serviceprovider::schedulecollection,serviceprovider,schedulecollection,0,0,0,0,0,0,0,0,1
serviceprovider::schedulerequest,serviceprovider,schedulerequest,0,0,0,0,0,1,0,0,1
serviceprovider::scheduleservice,serviceprovider,scheduleservice,0,1,0,0,0,0,0,0,0
serviceprovider::scheduletransport,serviceprovider,scheduletransport,0,1,0,1,0,1,0,0,1
serviceprovider::submitprofileupdates,serviceprovider,submitprofileupdates,0,0,0,0,0,0,0,0,1
serviceprovider::updateavailability,serviceprovider,updateavailability,0,0,1,0,0,0,0,0,0
serviceprovider::updateavailabilityschedule,serviceprovider,updateavailabilityschedule,0,0,1,0,0,0,0,0,0
serviceprovider::updatecompanydetails,serviceprovider,updatecompanydetails,0,0,0,0,1,0,0,0,0
serviceprovider::updatecompanyinfo,serviceprovider,updatecompanyinfo,0,0,1,0,0,0,0,0,0
serviceprovider::updatecompanyname,serviceprovider,updatecompanyname,0,0,0,1,1,1,0,0,0
serviceprovider::updatecompanyprofile,serviceprovider,updatecompanyprofile,0,0,0,0,1,0,0,0,0
serviceprovider::updatedetails,serviceprovider,updatedetails,0,1,0,0,1,0,0,0,0
serviceprovider::updatefields,serviceprovider,updatefields,0,0,0,0,0,1,0,0,0
serviceprovider::updateoperatinghours,serviceprovider,updateoperatinghours,0,0,0,0,1,0,0,0,0
serviceprovider::updateprofile,serviceprovider,updateprofile,1,1,1,0,0,1,1,1,0
serviceprovider::updateprofiledetails,serviceprovider,updateprofiledetails,0,1,0,0,0,0,0,0,1
serviceprovider::updateprofilesettings,serviceprovider,updateprofilesettings,0,0,0,0,1,0,0,0,0
serviceprovider::updateproviderdetails,serviceprovider,updateproviderdetails,0,0,0,0,1,1,0,0,0
serviceprovider::updateproviderprofile,serviceprovider,updateproviderprofile,1,1,1,0,0,0,0,0,0
serviceprovider::updateserviceablevehicletypes,serviceprovider,updateserviceablevehicletypes,0,0,0,0,1,0,0,0,0
serviceprovider::updateserviceareas,serviceprovider,updateserviceareas,0,0,1,1,0,0,0,0,0
serviceprovider::updateservicedetails,serviceprovider,updateservicedetails,1,1,0,1,1,0,0,0,0
serviceprovider::updateserviceprofile,serviceprovider,updateserviceprofile,1,0,0,1,0,0,0,0,0
serviceprovider::updateserviceproviderdetails,serviceprovider,updateserviceproviderdetails,0,0,1,0,0,0,0,0,0
serviceprovider::updateserviceproviderprofile,serviceprovider,updateserviceproviderprofile,0,0,1,0,0,0,0,1,1
serviceprovider::updatesupportedvehicles,serviceprovider,updatesupportedvehicles,0,0,1,0,0,0,0,0,0
serviceprovider::validateprofile,serviceprovider,validateprofile,0,0,0,0,0,0,0,0,1
serviceprovider::validateprofileupdate,serviceprovider,validateprofileupdate,0,1,0,0,0,0,0,0,0
serviceprovider::validateprofileupdates,serviceprovider,validateprofileupdates,0,0,0,0,0,1,0,0,1
serviceprovider::validateserviceprovider,serviceprovider,validateserviceprovider,0,0,1,0,0,0,0,0,0
serviceprovider::validateupdates,serviceprovider,validateupdates,0,0,0,0,0,1,0,0,0
serviceprovider::viewpendingrequests,serviceprovider,viewpendingrequests,0,0,0,0,0,0,1,0,0
servicerequest::accept,servicerequest,accept,0,1,1,0,1,1,0,0,0
servicerequest::acceptandschedulerequest,servicerequest,acceptandschedulerequest,0,0,0,0,0,1,0,0,0
servicerequest::acceptrequest,servicerequest,acceptrequest,0,0,1,0,1,0,0,0,1
servicerequest::addtrackingjourney,servicerequest,addtrackingjourney,0,0,1,0,0,0,0,0,0
servicerequest::assignjourney,servicerequest,assignjourney,0,0,1,0,0,0,0,0,0
servicerequest::assignprovider,servicerequest,assignprovider,1,1,1,0,1,0,0,0,1
servicerequest::assignserviceprovider,servicerequest,assignserviceprovider,0,0,1,0,0,0,0,0,1
servicerequest::assigntoprovider,servicerequest,assigntoprovider,0,1,0,1,0,0,0,0,0
servicerequest::assigntrackingjourney,servicerequest,assigntrackingjourney,0,0,0,0,1,0,0,0,0
servicerequest::assignwastejourney,servicerequest,assignwastejourney,0,0,0,0,1,0,0,0,0
servicerequest::bookservice,servicerequest,bookservice,0,0,0,0,0,1,0,0,0
servicerequest::canbecancelled,servicerequest,canbecancelled,0,0,0,0,0,0,0,0,1
servicerequest::canbecancelledbyuser,servicerequest,canbecancelledbyuser,0,0,0,0,1,0,0,0,0
servicerequest::cancel,servicerequest,cancel,1,1,1,1,1,1,1,0,1
servicerequest::cancelbyuser,servicerequest,cancelbyuser,0,0,0,0,1,0,0,0,0
servicerequest::cancelrequest,servicerequest,cancelrequest,1,1,1,1,1,1,1,1,1
servicerequest::checkcancellationeligibility,servicerequest,checkcancellationeligibility,0,0,0,0,0,0,0,0,1
servicerequest::complete,servicerequest,complete,0,1,1,1,1,0,0,0,0
servicerequest::completecollection,servicerequest,completecollection,0,0,0,0,1,0,0,0,0
servicerequest::completerequest,servicerequest,completerequest,0,0,1,0,1,1,0,0,1
servicerequest::completetransport,servicerequest,completetransport,0,0,0,0,1,0,0,0,0
servicerequest::confirmschedule,servicerequest,confirmschedule,0,0,0,1,0,0,0,0,0
servicerequest::confirmscheduling,servicerequest,confirmscheduling,0,0,0,1,0,0,0,0,0
servicerequest::createrequest,servicerequest,createrequest,1,0,1,1,0,1,0,0,1
servicerequest::decline,servicerequest,decline,0,0,0,0,1,0,0,0,0
servicerequest::declinerequest,servicerequest,declinerequest,0,0,0,0,1,0,0,0,0
servicerequest::getdetails,servicerequest,getdetails,0,0,0,0,0,1,0,0,0
servicerequest::getrequestdetails,servicerequest,getrequestdetails,0,0,1,0,0,0,0,0,0
servicerequest::getrequester,servicerequest,getrequester,0,0,0,0,1,0,0,0,0
servicerequest::getrequestsbyrequester,servicerequest,getrequestsbyrequester,0,1,0,0,0,0,0,0,0
servicerequest::getscheduledtime,servicerequest,getscheduledtime,0,0,0,0,1,0,0,0,0
servicerequest::getservicerequeststatus,servicerequest,getservicerequeststatus,0,0,0,0,0,0,0,0,1
servicerequest::getstatus,servicerequest,getstatus,0,1,1,0,1,1,0,0,0
servicerequest::initializerequest,servicerequest,initializerequest,0,1,0,0,1,0,0,0,0
servicerequest::iscancellable,servicerequest,iscancellable,1,0,0,0,0,0,0,0,0
servicerequest::iseditable,servicerequest,iseditable,0,0,1,0,0,0,0,0,0
servicerequest::iseligibleforcancellation,servicerequest,iseligibleforcancellation,0,0,1,0,0,0,0,0,0
servicerequest::ispastcancellationwindow,servicerequest,ispastcancellationwindow,0,0,1,0,0,0,0,0,0
servicerequest::linkwastejourney,servicerequest,linkwastejourney,0,0,0,0,1,0,0,0,1
servicerequest::listrequests,servicerequest,listrequests,0,0,0,0,0,1,0,0,0
servicerequest::markascompleted,servicerequest,markascompleted,0,0,1,0,1,0,0,0,0
servicerequest::markcollected,servicerequest,markcollected,0,1,0,0,0,0,0,0,0
servicerequest::markcompleted,servicerequest,markcompleted,1,1,1,0,0,0,0,0,0
servicerequest::markscheduled,servicerequest,markscheduled,0,1,0,0,0,0,0,0,0
servicerequest::propose,servicerequest,propose,0,0,1,0,0,0,0,0,0
servicerequest::proposealternativetime,servicerequest,proposealternativetime,0,0,0,0,1,0,0,0,0
servicerequest::proposealternativetimeslots,servicerequest,proposealternativetimeslots,0,0,0,0,1,0,0,0,0
servicerequest::proposetimes,servicerequest,proposetimes,0,0,0,0,1,0,0,0,0
servicerequest::proposetimeslot,servicerequest,proposetimeslot,0,0,1,0,0,0,0,0,0
servicerequest::proposetimeslots,servicerequest,proposetimeslots,0,0,1,0,0,0,0,0,0
servicerequest::recordjourneystageupdate,servicerequest,recordjourneystageupdate,0,0,0,0,1,0,0,0,0
servicerequest::reject,servicerequest,reject,0,1,0,0,0,0,0,0,0
servicerequest::reviewlistings,servicerequest,reviewlistings,0,0,0,0,0,1,0,0,0
servicerequest::schedule,servicerequest,schedule,1,1,1,1,1,0,1,0,0
servicerequest::schedulecollection,servicerequest,schedulecollection,0,0,0,1,0,0,0,0,0
servicerequest::schedulerequest,servicerequest,schedulerequest,1,0,1,0,1,0,1,0,1
servicerequest::scheduleservice,servicerequest,scheduleservice,0,0,1,0,0,0,0,0,1
servicerequest::setstatus,servicerequest,setstatus,0,0,0,0,0,1,0,0,1
servicerequest::submit,servicerequest,submit,0,1,1,0,0,1,0,0,1
servicerequest::submitrequest,servicerequest,submitrequest,1,1,1,1,0,0,1,1,1
servicerequest::transitionstatus,servicerequest,transitionstatus,0,0,0,1,0,0,0,0,0
servicerequest::updatedetails,servicerequest,updatedetails,0,0,0,0,1,0,0,0,0
servicerequest::updatelistings,servicerequest,updatelistings,0,0,0,0,0,1,0,0,0
servicerequest::updateservicelisting,servicerequest,updateservicelisting,0,0,0,0,0,0,0,0,1
servicerequest::updatestatus,servicerequest,updatestatus,1,0,0,1,1,1,1,0,1
servicerequest::validate,servicerequest,validate,0,0,1,0,0,0,0,0,0
servicerequest::validatecancellation,servicerequest,validatecancellation,0,0,0,1,0,0,0,0,0
servicerequest::validaterequest,servicerequest,validaterequest,0,0,1,0,0,0,0,0,1
servicerequest::validaterequestconsistency,servicerequest,validaterequestconsistency,0,0,0,1,0,0,0,0,0
servicerequest::validaterequestconstraints,servicerequest,validaterequestconstraints,0,0,0,1,0,0,0,0,0
servicerequest::validaterequestdata,servicerequest,validaterequestdata,0,0,1,0,0,0,0,0,0
servicerequest::validaterequestdetails,servicerequest,validaterequestdetails,0,1,0,1,1,0,0,0,1
servicerequest::viewdetails,servicerequest,viewdetails,0,0,0,0,0,1,0,0,1
servicerequest::viewstatus,servicerequest,viewstatus,1,0,0,0,0,0,0,0,1
servicerequestdetails::adddetail,servicerequestdetails,adddetail,0,0,1,0,0,0,0,0,0
servicerequestdetails::adddetails,servicerequestdetails,adddetails,0,0,1,0,0,0,0,0,0
servicerequestdetails::addrequestdetail,servicerequestdetails,addrequestdetail,0,0,1,0,0,0,0,0,0
servicerequestdetails::extractpayload,servicerequestdetails,extractpayload,0,0,1,0,0,0,0,0,0
servicerequestdetails::getdetail,servicerequestdetails,getdetail,0,0,1,0,0,0,0,0,0
servicerequestdetails::getrequestdetail,servicerequestdetails,getrequestdetail,0,0,1,0,0,0,0,0,0
servicerequestdetails::updatedetails,servicerequestdetails,updatedetails,0,0,1,0,0,0,0,0,0
servicerequestdetails::validatepayloadstructure,servicerequestdetails,validatepayloadstructure,0,0,0,1,0,0,0,0,0
timerange::contains,timerange,contains,0,0,1,0,0,0,0,0,0
timerange::isavailable,timerange,isavailable,0,0,1,0,0,0,0,0,0
timerange::isvalid,timerange,isvalid,0,0,1,0,1,0,0,0,0
timerange::iswithin,timerange,iswithin,0,0,1,0,0,0,0,0,0
timerange::iswithinbusinesshours,timerange,iswithinbusinesshours,0,0,1,0,0,0,0,0,0
timerange::overlaps,timerange,overlaps,0,0,1,0,0,0,1,0,0
timerange::overlapswith,timerange,overlapswith,0,0,1,1,0,0,0,0,0
timerange::validate,timerange,validate,0,0,0,1,0,0,0,0,0
timerange::validateconsistency,timerange,validateconsistency,0,0,0,1,0,0,0,0,0
timerange::validaterange,timerange,validaterange,0,0,0,0,1,0,0,0,0
timerange::validatetimeorder,timerange,validatetimeorder,0,0,0,0,0,0,0,0,1
timerange::validatetimerange,timerange,validatetimerange,0,0,1,0,0,0,0,0,0
transportrequest::accept,transportrequest,accept,0,1,0,0,0,0,0,0,0
transportrequest::acceptrequest,transportrequest,acceptrequest,1,1,0,0,0,1,0,0,0
transportrequest::accepttransport,transportrequest,accepttransport,1,0,0,0,0,0,0,0,0
transportrequest::assignrouteplan,transportrequest,assignrouteplan,0,0,1,0,0,0,0,0,0
transportrequest::assigntransport,transportrequest,assigntransport,1,0,0,0,0,0,0,0,0
transportrequest::calculateoptimalroute,transportrequest,calculateoptimalroute,0,0,0,1,0,0,0,0,0
transportrequest::checkvehicleavailability,transportrequest,checkvehicleavailability,0,0,0,0,0,0,0,0,1
transportrequest::complete,transportrequest,complete,0,1,0,0,0,0,0,0,0
transportrequest::completerequest,transportrequest,completerequest,0,0,0,0,0,1,0,0,0
transportrequest::completetransport,transportrequest,completetransport,1,0,0,0,0,0,0,0,0
transportrequest::confirmacceptance,transportrequest,confirmacceptance,0,0,0,0,0,0,0,0,1
transportrequest::confirmrequest,transportrequest,confirmrequest,0,0,0,0,0,0,0,0,1
transportrequest::confirmtransport,transportrequest,confirmtransport,0,0,0,0,0,1,0,0,0
transportrequest::create,transportrequest,create,0,1,0,0,0,0,0,0,0
transportrequest::createrequest,transportrequest,createrequest,0,0,0,0,0,1,0,0,0
transportrequest::createroute,transportrequest,createroute,0,0,0,0,0,0,0,0,1
transportrequest::createrouteplan,transportrequest,createrouteplan,0,0,1,0,0,0,0,0,0
transportrequest::createtransportrequest,transportrequest,createtransportrequest,1,0,1,0,1,0,0,0,0
transportrequest::decline,transportrequest,decline,0,1,0,0,0,0,0,0,0
transportrequest::defineroute,transportrequest,defineroute,0,0,0,0,1,0,0,0,0
transportrequest::generaterouteplan,transportrequest,generaterouteplan,0,0,0,1,0,0,0,0,0
transportrequest::initializetransportrequest,transportrequest,initializetransportrequest,0,0,0,0,1,0,0,0,0
transportrequest::markascompleted,transportrequest,markascompleted,1,0,0,0,0,0,0,0,1
transportrequest::markastransported,transportrequest,markastransported,0,0,0,0,1,0,0,0,0
transportrequest::markcompleted,transportrequest,markcompleted,1,1,0,0,0,0,0,0,0
transportrequest::markdelivered,transportrequest,markdelivered,0,1,0,0,0,0,0,0,0
transportrequest::optimizeroute,transportrequest,optimizeroute,0,0,1,1,0,0,0,0,0
transportrequest::planroute,transportrequest,planroute,0,1,0,0,1,0,1,0,0
transportrequest::scheduletransport,transportrequest,scheduletransport,1,1,0,0,0,1,1,1,1
transportrequest::setrouteplan,transportrequest,setrouteplan,0,0,1,0,0,1,0,0,0
transportrequest::specifytransportroute,transportrequest,specifytransportroute,0,0,1,0,0,0,0,0,0
transportrequest::starttransport,transportrequest,starttransport,0,1,0,0,0,0,0,0,0
transportrequest::submit,transportrequest,submit,0,1,0,0,0,0,0,0,0
transportrequest::submittransportrequest,transportrequest,submittransportrequest,1,0,0,0,0,0,0,0,0
transportrequest::updaterouteplan,transportrequest,updaterouteplan,0,0,1,0,1,0,0,0,0
transportrequest::updatestatus,transportrequest,updatestatus,0,0,0,0,0,1,0,0,0
transportrequest::updatetransportdetails,transportrequest,updatetransportdetails,0,0,0,0,1,0,0,0,0
